timestamp,level,subsystem,event_code,entity_id,message,station,firmware,test_step,chamber_temp_c,board_temp_c,supply_v,current_a,rssi_dbm,packet_loss_pct
2026-08-19T09:00:00.000Z,DEBUG,SensorBus,SENSOR_POLL,DUT-017,Sensor bus poll completed,CHAMBER-A3,4.8.12-rc2,Ramp,25.0,29.1,12.01,0.82,-58,0.1
2026-08-19T09:00:12.000Z,INFO,TestHarness,SAMPLE_OK,DUT-018,Measurement sample within expected limits,CHAMBER-A3,4.8.12-rc2,Ramp,26.1,30.5,12.00,0.84,-59,0.0
2026-08-19T09:00:24.000Z,INFO,ThermalControl,THERMAL_STABLE,DUT-019,Thermal regulation within expected band,CHAMBER-A3,4.8.12-rc2,Ramp,27.2,32.0,11.99,0.86,-60,0.0
2026-08-19T09:00:36.000Z,INFO,Radio,RADIO_HEALTH,DUT-020,Radio health check completed,CHAMBER-A3,4.8.12-rc2,Ramp,28.2,33.4,11.99,0.87,-61,0.0
2026-08-19T09:00:48.000Z,INFO,PowerRail,POWER_STABLE,DUT-017,Power rail remained within tolerance,CHAMBER-A3,4.8.12-rc2,Ramp,29.3,33.4,11.98,0.89,-62,0.0
2026-08-19T09:01:00.000Z,INFO,SensorBus,SENSOR_POLL,DUT-018,Sensor bus poll completed,CHAMBER-A3,4.8.12-rc2,Ramp,30.4,34.9,12.01,0.91,-58,0.0
2026-08-19T09:01:12.000Z,INFO,TestHarness,SAMPLE_OK,DUT-019,Measurement sample within expected limits,CHAMBER-A3,4.8.12-rc2,Ramp,31.5,36.3,12.00,0.82,-59,0.0
2026-08-19T09:01:24.000Z,INFO,ThermalControl,THERMAL_STABLE,DUT-020,Thermal regulation within expected band,CHAMBER-A3,4.8.12-rc2,Ramp,32.6,37.7,11.99,0.84,-60,0.0
2026-08-19T09:01:36.000Z,INFO,Radio,RADIO_HEALTH,DUT-017,Radio health check completed,CHAMBER-A3,4.8.12-rc2,Ramp,33.6,37.7,11.99,0.86,-61,0.0
2026-08-19T09:01:48.000Z,INFO,PowerRail,POWER_STABLE,DUT-018,Power rail remained within tolerance,CHAMBER-A3,4.8.12-rc2,Ramp,34.7,39.2,11.98,0.87,-62,0.1
2026-08-19T09:02:00.000Z,INFO,SensorBus,SENSOR_POLL,DUT-019,Sensor bus poll completed,CHAMBER-A3,4.8.12-rc2,Ramp,35.8,40.6,12.01,0.89,-58,0.0
2026-08-19T09:02:12.000Z,INFO,TestHarness,SAMPLE_OK,DUT-020,Measurement sample within expected limits,CHAMBER-A3,4.8.12-rc2,Ramp,36.9,42.0,12.00,0.91,-59,0.0
2026-08-19T09:02:24.000Z,INFO,ThermalControl,THERMAL_STABLE,DUT-017,Thermal regulation within expected band,CHAMBER-A3,4.8.12-rc2,Ramp,38.0,42.1,11.99,0.82,-60,0.0
2026-08-19T09:02:36.000Z,INFO,Radio,RADIO_HEALTH,DUT-018,Radio health check completed,CHAMBER-A3,4.8.12-rc2,Ramp,39.0,43.5,11.99,0.84,-61,0.0
2026-08-19T09:02:48.000Z,INFO,PowerRail,POWER_STABLE,DUT-019,Power rail remained within tolerance,CHAMBER-A3,4.8.12-rc2,Ramp,40.1,44.9,11.98,0.86,-62,0.0
2026-08-19T09:03:00.000Z,INFO,SensorBus,SENSOR_POLL,DUT-020,Sensor bus poll completed,CHAMBER-A3,4.8.12-rc2,Ramp,41.2,46.4,12.01,0.87,-58,0.0
2026-08-19T09:03:12.000Z,INFO,TestHarness,SAMPLE_OK,DUT-017,Measurement sample within expected limits,CHAMBER-A3,4.8.12-rc2,Ramp,42.3,46.4,12.00,0.89,-59,0.0
2026-08-19T09:03:24.000Z,DEBUG,ThermalControl,THERMAL_STABLE,DUT-018,Thermal regulation within expected band,CHAMBER-A3,4.8.12-rc2,Ramp,43.4,47.8,11.99,0.91,-60,0.0
2026-08-19T09:03:36.000Z,INFO,Radio,RADIO_HEALTH,DUT-019,Radio health check completed,CHAMBER-A3,4.8.12-rc2,Ramp,44.4,49.2,11.99,0.82,-61,0.1
2026-08-19T09:03:48.000Z,INFO,PowerRail,POWER_STABLE,DUT-020,Power rail remained within tolerance,CHAMBER-A3,4.8.12-rc2,Ramp,45.5,50.7,11.98,0.84,-62,0.0
2026-08-19T09:04:00.000Z,INFO,SensorBus,SENSOR_POLL,DUT-017,Sensor bus poll completed,CHAMBER-A3,4.8.12-rc2,Ramp,46.6,50.7,12.01,0.86,-58,0.0
2026-08-19T09:04:12.000Z,INFO,TestHarness,SAMPLE_OK,DUT-018,Measurement sample within expected limits,CHAMBER-A3,4.8.12-rc2,Ramp,47.7,52.1,12.00,0.87,-59,0.0
2026-08-19T09:04:24.000Z,INFO,ThermalControl,THERMAL_STABLE,DUT-019,Thermal regulation within expected band,CHAMBER-A3,4.8.12-rc2,Ramp,48.8,53.6,11.99,0.89,-60,0.0
2026-08-19T09:04:36.000Z,INFO,Radio,RADIO_HEALTH,DUT-020,Radio health check completed,CHAMBER-A3,4.8.12-rc2,Ramp,49.8,55.0,11.99,0.91,-61,0.0
2026-08-19T09:04:48.000Z,INFO,PowerRail,POWER_STABLE,DUT-017,Power rail remained within tolerance,CHAMBER-A3,4.8.12-rc2,Ramp,50.9,55.0,11.98,0.82,-62,0.0
2026-08-19T09:05:00.000Z,INFO,SensorBus,SENSOR_POLL,DUT-018,Sensor bus poll completed,CHAMBER-A3,4.8.12-rc2,Ramp,52.0,56.5,12.01,0.84,-58,0.0
